文件,用例名,作用/设计原因,所属层级/维度,marker,是否等账号
test_job_boundary.py,test_推送配置_内容自动Base64且结构自洽,push_config_file 拼参：file_list 结构对、内容编码、无 account_id。,专项·参数边界,unit,否
test_job_boundary.py,test_快速执行SQL_DB账号必填字段自洽,fast_execute_sql 拼参：db_account_id 在、系统账号字段不出现。,专项·参数边界,unit,否
test_job_boundary.py,test_快速执行_超时边界值合法 ×2,边界值：1 秒（下界）和 86400 秒（上界）都是文档允许的合法值。,专项·参数边界,-,是
test_job_boundary.py,test_快速执行_超时越界被拒 ×3,越界值：0、86401、负数都应被服务端参数校验拒绝。,专项·参数边界,-,是
test_job_boundary.py,test_建脚本_非法语言类型被拒,非法枚举：script_language 只支持 1-6，传 9 应被服务端拒绝。,专项·参数边界,-,是
test_job_boundary.py,test_操作作业实例_非法操作码被拒,非法枚举：operate_job_instance 只支持 1=终止，传 99 应被拒绝。,专项·参数边界,-,是
test_job_cron.py,test_新建定时任务_默认暂停,"对应手动步骤：新建定时 → 列表里状态是""暂停""。",JOB链路4·定时任务,-,是
test_job_cron.py,test_定时详情_表达式保存正确,对应手动步骤：定时详情页 → 能看到 crontab 表达式和引用的方案。,JOB链路4·定时任务,-,是
test_job_cron.py,test_启动定时任务_状态变启动,"对应手动步骤：点""启动"" → 状态 2（暂停）变 1（启动）。",JOB链路4·定时任务,-,是
test_job_cron.py,test_表达式带问号_被拒绝,负面用例：expression 不支持 `?`（坑位实测）。,JOB链路4·定时任务,-,是
test_job_cron.py,test_表达式与执行时间_同时传被拒绝,负面用例：expression 与 execute_time 互斥，同时传应报错。,JOB链路4·定时任务,-,是
test_job_cron.py,test_删除定时任务_列表消失,对应手动步骤：删除定时 → 列表里查不到。,JOB链路4·定时任务,-,是
test_job_fast_exec.py,test_Base64往返_编解码一致,纯函数测试，不依赖环境（凭证没到也能先跑）。,JOB链路2·快速执行,unit,否
test_job_fast_exec.py,test_快速执行_返回实例和步骤ID,"对应手动步骤：填脚本点""执行"" → 生成作业实例。",JOB链路2·快速执行,-,是
test_job_fast_exec.py,test_查状态_轮询到执行结束,"对应手动步骤：执行历史里看状态从""执行中""流转到""成功/失败""。",JOB链路2·快速执行,-,是
test_job_fast_exec.py,test_查日志_输出包含唯一标记,对应手动步骤：执行详情里点开某台主机 → 看到脚本 stdout 输出。,JOB链路2·快速执行,-,是
test_job_fast_exec.py,test_执行账号_缺账号被拒,负面用例：不传执行账号（account_alias 和 account_id 都不传）应报错。,JOB链路2·快速执行,-,是
test_job_fast_exec.py,test_脚本优先级_传内容同时传版本用版本,坑位实测：script_version_id > script_id > script_content。,JOB链路2·快速执行,-,是
test_job_file_sql.py,test_配置文件内容_Base64往返一致,push_config_file 的内容要 Base64，编码后解码必须等于原文。,JOB链路6·文件+SQL,unit,否
test_job_file_sql.py,test_推送配置文件_返回作业实例ID,"对应手动步骤：文件分发页选""配置文件"" → 填内容点执行。",JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_推送配置文件_执行成功,推配置 → 轮询状态到成功(3)。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_推送配置_缺目标路径被拒,负面用例：file_target_path 是必填项，传空应报错。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_生成上传URL_返回带凭据地址,对应手动步骤：本地文件分发第1步，选文件 → 生成上传地址。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_快速分发文件_服务器文件源,"对应手动步骤：文件分发页选""服务器文件"" → 选源机 → 点执行。",JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_快速分发文件_缺执行账号被拒,负面用例：目标执行账号必填（account_alias/account_id 二选一）。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_快速执行SQL_返回实例ID,对应手动步骤：快速执行 SQL 页 → 选 DB 账号 → 填 SQL 点执行。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_快速执行SQL_缺DB账号被拒,负面用例：db_account_id 必填，传 0 应报参数错误。,JOB链路6·文件+SQL,-,是
test_job_file_sql.py,test_操作步骤_对失败步骤忽略错误,"对应手动步骤：执行详情页对失败步骤点""忽略错误""（operation_code=3）。",JOB链路6·文件+SQL,-,是
test_job_plan.py,test_模板列表_非空,对应手动步骤：作业模板页 → 能看到模板列表。,JOB链路3·作业编排,-,是
test_job_plan.py,test_方案列表_属于对应模板,对应手动步骤：模板详情 → 方案列表里每个方案都挂着模板 ID。,JOB链路3·作业编排,-,是
test_job_plan.py,test_方案详情_含全局变量列表,对应手动步骤：方案详情页 → 能看到方案可改的全局变量。,JOB链路3·作业编排,-,是
test_job_plan.py,test_启动方案_执行历史可查,"对应手动步骤：点""执行"" → 执行历史里多一条记录。",JOB链路3·作业编排,-,是
test_job_plan.py,test_实例全局变量_能查到值,对应手动步骤：执行详情 → 查看该次执行各变量的实际取值。,JOB链路3·作业编排,-,是
test_job_plan.py,test_覆盖全局变量_执行时传值生效,坑位实测：execute_job_plan 传 global_var_list 可覆盖方案默认值。,JOB链路3·作业编排,-,是
test_job_script.py,test_建脚本_列表能查到且内容自洽,对应手动步骤：新建脚本 → 脚本列表里能看到，内容还是我们传的那份。,JOB链路1·脚本管理,-,是
test_job_script.py,test_建脚本_首个版本状态未上线,新建脚本自带的 v1.0 应该是 0（未上线），需要手动上线才生效。,JOB链路1·脚本管理,-,是
test_job_script.py,test_追加版本_版本列表两条,"对应手动步骤：脚本详情页""新增版本"" → 版本列表出现 v1.0 和 v1.1。",JOB链路1·脚本管理,-,是
test_job_script.py,test_上线版本_状态变已上线,"对应手动步骤：选中版本点""上线"" → 状态 0 变 1。",JOB链路1·脚本管理,-,是
test_job_script.py,test_禁用版本_状态变已禁用,"对应手动步骤：版本""禁用"" → 状态变 3。",JOB链路1·脚本管理,-,是
test_job_script.py,test_删除脚本_级联删版本,对应手动步骤：删除脚本 → 该脚本的所有版本一并消失。,JOB链路1·脚本管理,-,是
test_security.py,test_高危检测_脚本内容自动Base64,check_script 的内容必须 Base64，危险命令也要照常编码发送。,专项·安全,unit,否
test_security.py,test_高危检测_全局接口不带scope,check_script 是全局能力，不应带 bk_scope（否则危险检测被绑到业务上）。,专项·安全,unit,否
test_security.py,test_高危规则_全局接口不带scope,create_dangerous_rule 也是全局资源，不带 bk_scope。,专项·安全,unit,否
test_security.py,test_鉴权_错误token被拒,用真实 app_code/secret + 错误 token 调接口，应被服务端拒绝。,专项·安全,-,是
test_security.py,test_越权_跨业务scope查不到本业务脚本,"业务隔离：用本业务建一个脚本，用""别的业务 scope""去查，应查不到。",专项·安全,-,是
test_security.py,test_注入_SQL注入参数被拒,脚本参数塞 SQL 注入 payload，应被服务端参数校验 / 高危检测拦截。,专项·安全,-,是
test_security.py,test_高危命令_rm_rf被check_script命中,check_script 对 rm -rf / 应返回命中列表（level 3 致命）。,专项·安全,-,是
test_storage.py,test_保存运行记录后能按最近N条查回,,L1工具·存储,-,否
test_storage.py,test_查询条数上限生效,,L1工具·存储,-,否
test_storage.py,test_接口调试留痕含成功失败位,,L1工具·存储,-,否
test_storage.py,test_超长调试结果截断防爆库,,L1工具·存储,-,否
test_storage.py,test_旧jsonl一次性迁移后不重复导入,,L1工具·存储,-,否
test_storage.py,test_迁移时表非空则跳过并备份旧文件,,L1工具·存储,-,否
test_storage.py,test_无旧文件迁移直接返回零,,L1工具·存储,-,否
test_webapp.py,test_首页返回平台页面,,L1工具·Web平台层,-,否
test_webapp.py,test_用例统计接口返回全量数字,,L1工具·Web平台层,-,否
test_webapp.py,test_冒烟计划后台跑完并留历史,,L1工具·Web平台层,-,否
test_webapp.py,test_未知任务查询返回404,,L1工具·Web平台层,-,否
test_webapp.py,test_接口调试拒绝白名单外目标,,L1工具·Web平台层,-,否
test_webapp.py,test_接口调试拒绝写操作只开放只读,,L1工具·Web平台层,-,否
test_webapp.py,test_报告文件名白名单拒绝非法名,,L1工具·Web平台层,-,否
